day,month,year,daily_policy_index
20,12,1987,68.70
21,12,1987,169.89
22,12,1987,21.05
23,12,1987,109.79
24,12,1987,55.80
25,12,1987,61.50
26,12,1987,144.26
27,12,1987,114.74
28,12,1987,333.74
29,12,1987,196.21
30,12,1987,92.77
31,12,1987,95.62
1,1,1988,144.53
2,1,1988,32.61
3,1,1988,186.38
4,1,1988,306.99
5,1,1988,80.52
6,1,1988,132.93
7,1,1988,31.78
8,1,1988,53.63
9,1,1988,128.26
10,1,1988,201.61
11,1,1988,241.44
12,1,1988,94.96
13,1,1988,79.56
14,1,1988,75.80
15,1,1988,84.98
16,1,1988,119.93
17,1,1988,195.94
18,1,1988,142.39
19,1,1988,100.06
20,1,1988,30.96
21,1,1988,75.47
22,1,1988,119.19
23,1,1988,73.66
24,1,1988,83.42
25,1,1988,71.51
26,1,1988,90.96
27,1,1988,79.59
28,1,1988,44.51
29,1,1988,81.43
30,1,1988,118.63
31,1,1988,91.85
1,2,1988,175.52
2,2,1988,91.04
3,2,1988,79.44
4,2,1988,60.38
5,2,1988,33.80
6,2,1988,49.93
7,2,1988,177.18
8,2,1988,272.61
9,2,1988,55.88
10,2,1988,77.57
11,2,1988,29.97
12,2,1988,47.94
13,2,1988,96.53
14,2,1988,76.27
15,2,1988,73.14
16,2,1988,20.17
17,2,1988,94.55
18,2,1988,75.45
19,2,1988,65.31
20,2,1988,71.10
21,2,1988,94.79
22,2,1988,22.10
23,2,1988,36.36
24,2,1988,92.55
25,2,1988,29.81
26,2,1988,80.61
27,2,1988,90.97
28,2,1988,75.83
29,2,1988,64.73
1,3,1988,55.61
2,3,1988,80.27
3,3,1988,73.78
4,3,1988,32.47
5,3,1988,23.95
6,3,1988,104.64
7,3,1988,223.61
8,3,1988,55.18
9,3,1988,58.41
10,3,1988,119.48
11,3,1988,33.85
12,3,1988,116.87
13,3,1988,103.48
14,3,1988,90.15
15,3,1988,75.25
16,3,1988,76.80
17,3,1988,43.71
18,3,1988,33.62
19,3,1988,49.29
20,3,1988,77.30
21,3,1988,45.17
22,3,1988,73.34
23,3,1988,77.90
24,3,1988,44.10
25,3,1988,80.22
26,3,1988,73.43
27,3,1988,140.92
28,3,1988,67.94
29,3,1988,56.43
30,3,1988,65.72
31,3,1988,61.30
1,4,1988,84.52
2,4,1988,25.66
3,4,1988,78.85
4,4,1988,109.42
5,4,1988,131.20
6,4,1988,30.27
7,4,1988,14.51
8,4,1988,63.37
9,4,1988,45.89
10,4,1988,107.49
11,4,1988,65.68
12,4,1988,53.90
13,4,1988,29.59
14,4,1988,71.58
15,4,1988,62.76
16,4,1988,69.40
17,4,1988,205.80
18,4,1988,132.95
19,4,1988,71.70
20,4,1988,15.26
21,4,1988,27.97
22,4,1988,46.14
23,4,1988,22.95
24,4,1988,175.98
25,4,1988,104.16
26,4,1988,90.65
27,4,1988,72.33
28,4,1988,70.71
29,4,1988,184.71
30,4,1988,22.74
1,5,1988,73.43
2,5,1988,105.57
3,5,1988,35.63
4,5,1988,59.04
5,5,1988,71.29
6,5,1988,80.66
7,5,1988,45.66
8,5,1988,59.76
9,5,1988,248.52
10,5,1988,89.64
11,5,1988,74.65
12,5,1988,129.63
13,5,1988,110.50
14,5,1988,23.94
15,5,1988,134.79
16,5,1988,109.68
17,5,1988,71.45
18,5,1988,43.84
19,5,1988,44.43
20,5,1988,32.64
21,5,1988,236.44
22,5,1988,59.44
23,5,1988,87.18
24,5,1988,53.87
25,5,1988,90.15
26,5,1988,100.06
27,5,1988,47.31
28,5,1988,22.79
29,5,1988,122.26
30,5,1988,88.76
31,5,1988,116.58
1,6,1988,138.51
2,6,1988,75.41
3,6,1988,82.37
4,6,1988,114.30
5,6,1988,135.78
6,6,1988,89.97
7,6,1988,36.08
8,6,1988,14.97
9,6,1988,88.11
10,6,1988,16.46
11,6,1988,71.38
12,6,1988,165.23
13,6,1988,129.84
14,6,1988,55.62
15,6,1988,76.30
16,6,1988,58.44
17,6,1988,79.42
18,6,1988,23.65
19,6,1988,94.63
20,6,1988,87.86
21,6,1988,90.56
